id name d_price,d_vol,d_trades,d_min,d_max ds_price,ds_vol,ds_trades h_price,h_vol,h_trades
751 oak_button 2292,34331,1013,60.93,1000000 109381,30976,484 2199,15592,461
752 spruce_button 565,246625,4831,15.62,500000 32496,237824,3716 677,56000,1199
753 birch_button 2079,9952,467,156,999000 46998,8512,133 1812,869,94
754 jungle_button 1008,11188,240,156,1000000 53130,10816,169 3754,175,40
755 acacia_button 319701,1595,133,156,99799998 366708,1024,16 4194,435,28
756 cherry_button 3788,5454,119,500,5000000 131966,4992,78 1622,736,12
757 dark_oak_button 13120,8731,172,78.12,4545455 66487,8128,127 1748,1201,35
758 pale_oak_button 9185,7583,241,424,9999999 399227,6912,108 24776,1629,39
759 mangrove_button 24311,928,25,781,10000000 787991,768,12 7355,639,10
760 bamboo_button 4661,4693,114,313,1000000 261338,4352,68 4003,703,11
761 crimson_button 4961,5297,118,188,998000 131133,4864,76 15000,1,1
762 warped_button 20179,1414,51,526,999000 699653,1088,17 17869,521,17
763 stone_pressure_plate 7925,15858,931,156,2000000 259991,13632,213 12003,5971,224
764 polished_blackstone_pressure_plate 39915,1886,145,6250,3900000 1334783,1472,23 84909,102,38
765 light_weighted_pressure_plate 13934,11314,1356,601,999000 464849,8064,126 10098,2894,408
766 heavy_weighted_pressure_plate 7311,24979,856,1064,781250 394397,21120,330 5227,3576,136
767 oak_pressure_plate 3548,20136,530,31.74,2000000 151789,18816,294 2234,3326,104
768 spruce_pressure_plate 922,174843,3284,1.66,1000000 52614,168960,2640 792,50647,921
769 birch_pressure_plate 15931,2046,481,7.5,312344 1171000,1280,20 9896,106,24
770 jungle_pressure_plate 4191,380,46,781,200000 67000,256,4 651,96,6
771 acacia_pressure_plate 4105,705,45,625,299000 55714,448,7 3125,64,1
772 cherry_pressure_plate 13061,606,43,3125,499000 0,0,0 6663,257,7
773 dark_oak_pressure_plate 8338,3238,119,313,10000000 58643,2688,42 2923,130,3
774 pale_oak_pressure_plate 5421,6115,123,313,500000 198437,5568,87 71602,676,43
775 mangrove_pressure_plate 48947,152,15,3704,400000 4000000,64,1 0,0,0
776 bamboo_pressure_plate 23096,355,61,130,500000 0,0,0 11641,391,13
777 crimson_pressure_plate 212741,158,31,500,19000000 750000,128,2 299000,1,1
778 warped_pressure_plate 60112,634,34,3000,312500 3881250,512,8 27646,158,8
779 iron_door 10687,11245,1105,78.12,400000 348522,8320,130 7088,4849,214
780 oak_door 4462,13254,868,200,1000000 168867,10368,162 3620,4180,402
781 spruce_door 3190,108947,4195,109,37500001 65812,96064,1501 1234,39696,1136
782 birch_door 7594,2644,418,1,200000 271571,1344,21 7088,569,78
783 jungle_door 5749,1241,158,1475,250000 207462,832,13 18632,133,14
784 acacia_door 13540,1179,80,1,499000 588462,832,13 21366,676,175
785 cherry_door 17493,1940,258,556,333333 281333,960,15 9984,496,74
786 dark_oak_door 5429,15482,772,313,2000000 253129,12928,202 4970,2372,153
787 pale_oak_door 8352,6796,711,625,500000 140744,5248,82 27850,374,129
788 mangrove_door 14211,2295,233,1563,300000 677083,1536,24 28023,132,101
789 bamboo_door 11716,2203,194,1563,133333 510474,1216,19 19894,403,19
790 crimson_door 10503,2128,263,1563,299000 324091,704,11 8701,556,76
791 warped_door 23599,2081,291,164,750000 1825000,384,6 22098,377,38
792 copper_door 12800,1207,54,3125,400000 459615,832,13 7222,275,16
793 exposed_copper_door 156818,66,3,140625,675000 9000000,64,1 0,0,0
794 weathered_copper_door 500000,4,4,500000,500000 0,0,0 0,0,0
