id name d_price,d_vol,d_trades,d_min,d_max ds_price,ds_vol,ds_trades h_price,h_vol,h_trades
1005 cherry_hanging_sign 34272,914,121,3125,430000 323143,784,49 26235,590,53
1006 dark_oak_hanging_sign 45959,765,94,1250,125000 1342750,128,8 36659,126,20
1007 pale_oak_hanging_sign 36930,3563,506,1875,500000 347690,2768,173 34255,1856,186
1008 mangrove_hanging_sign 164148,408,97,6250,1000000 2366176,272,17 507196,22,7
1009 bamboo_hanging_sign 30104,1467,137,3000,909091 322056,1344,84 98596,275,28
1010 crimson_hanging_sign 53873,663,67,1250,2000000 493608,576,36 61346,52,7
1011 warped_hanging_sign 114620,1180,225,6250,1200000 1059105,912,57 62389,199,36
1012 bucket 4708,70599,5624,938,400000 70789,67040,4190 8849,19280,1559
1013 water_bucket 44806,31117,31117,1099,999999980 44806,31117,31117 10456,10494,10494
1014 lava_bucket 24652,20618,20618,3500,4100000 24652,20618,20618 16111,6579,6579
1015 powder_snow_bucket 36794,10605,10605,2000,1000000 36794,10605,10605 38382,3168,3168
1016 snowball 10251,103131,6497,8.18,62499999 166394,101552,6347 409,33844,2133
1017 leather 1753,240201,5488,638,109375 98025,211328,3302 1524,60018,1470
1018 milk_bucket 41700,8353,8353,3000,29299292 41700,8353,8353 43026,2373,2373
1019 pufferfish_bucket 100649,868,868,10000,1000000 100649,868,868 269552,131,131
1020 salmon_bucket 544110,164,164,5000,50000000 544110,164,164 603928,29,29
1021 cod_bucket 103590,117,117,3000,800000 103590,117,117 105091,11,11
1022 tropical_fish_bucket 71975,8026,8026,5000,5000000 71975,8026,8026 91913,1824,1824
1023 axolotl_bucket 129341,8642,8642,10000,25000000 129341,8642,8642 179959,2307,2307
1024 tadpole_bucket 113070,495,495,30000,700000 113070,495,495 133478,122,122
1025 brick 2978,27135,484,47.05,268293 168584,24640,385 2582,13115,237
1026 clay_ball 367,96168,1609,31.25,25000 23001,89344,1396 323,16714,286
1027 dried_kelp_block 985,113748,3947,748,34950 57445,98944,1546 895,22415,805
1028 paper 646,494320,8072,167,50000000 31002,475072,7423 596,131291,2222
1029 book 0,0,0,0,0 0,0,0 0,0,0
1030 slime_ball 461,107749,1882,50,250000 27914,101056,1579 425,30879,525
1031 egg 1120,166002,10548,62.5,200000 17720,164320,10270 1023,58554,3725
1032 blue_egg 2433,23006,1472,125,150000 38205,22672,1417 8911,3857,255
1033 brown_egg 2278,26089,1670,2,150000 35803,25536,1596 2441,4014,264
1034 compass 13534,20766,2260,2000,20000000 383970,17088,267 248994,4227,424
1035 recovery_compass 188742,431,249,56604,1000000 4900000,128,2 162202,76,76
1036 bundle 846518,4165,4165,1000,1499999928 846518,4165,4165 235366,1086,1086
1037 white_bundle 1563200,25,25,30000,13990001 1563200,25,25 428870,23,23
1038 orange_bundle 645818,22,22,29000,6700000 645818,22,22 0,0,0
1039 magenta_bundle 1063410,29,29,14900,14670001 1063410,29,29 4386000,3,3
1040 light_blue_bundle 571938,8,8,75500,2500000 571938,8,8 0,0,0
1041 yellow_bundle 742000,17,17,29000,7000000 742000,17,17 65908,12,12
1042 lime_bundle 6526141,7,7,32990,15000000 6526141,7,7 10122250,4,4
1043 pink_bundle 7864520,25,25,45000,150000005 7864520,25,25 4689667,3,3
1044 gray_bundle 22405333,24,24,35000,100000000 22405333,24,24 500000,3,3
1045 light_gray_bundle 1953545,22,22,100000,36000000 1953545,22,22 16700000,3,3
1046 cyan_bundle 3560000,5,5,150000,9000000 3560000,5,5 0,0,0
1047 purple_bundle 1592480,25,25,50000,7000000 1592480,25,25 2844333,9,9
1048 blue_bundle 739667,70,70,10000,16000000 739667,70,70 122993,15,15
1049 brown_bundle 3419914,14,14,70000,14670001 3419914,14,14 0,0,0
1050 green_bundle 856482,27,27,65000,13990001 856482,27,27 0,0,0
1051 red_bundle 379039,171,171,15000,12990001 379039,171,171 1027719,32,32
1052 black_bundle 1747967,60,60,20000,20000000 1747967,60,60 1235000,24,24
1053 fishing_rod 137204,3983,3983,1000,20000000 137204,3983,3983 164195,871,871
1054 clock 30402,1072,581,1056,1000000 0,0,0 32777,181,118
1055 spyglass 42953,1964,1964,3000,1000000 42953,1964,1964 37975,402,402
1056 glowstone_dust 1860,95056,2295,435,100000 113112,74752,1168 1652,25777,602
1057 cod 2432,40209,728,156,500000 151246,37184,581 2650,10946,197
1058 salmon 5280,14056,323,370,300000 309304,11456,179 6945,2567,70
1059 tropical_fish 4947,12172,381,500,150000 270051,10816,169 7614,1804,63
1060 pufferfish 15144,16412,743,6000,170000 892889,14848,232 19320,3952,159
1061 cooked_cod 2537,10176,200,156,1000000 144268,9536,149 1833,2290,42
1062 cooked_salmon 11425,3431,113,167,450000 853503,2432,38 6191,1230,32
1063 ink_sac 3538,48651,1325,550,100000 204152,45760,715 4273,7610,236
1064 glow_ink_sac 4563,59963,4531,467,5000000 154180,48064,751 3294,22461,1249
1065 cocoa_beans 746,28474,661,46.87,50000 44868,23808,372 597,7194,184
1066 white_dye 598,216041,3544,50,100000 37345,206912,3233 770,47812,789
1067 orange_dye 1451,99015,1632,93.75,1000000 89731,93760,1465 939,17765,303
1068 magenta_dye 245,100429,1684,15.62,50000 14655,94528,1477 303,24515,392
1069 light_blue_dye 2184,78181,1308,87.71,80000 135910,72640,1135 1319,21810,365
1070 yellow_dye 457,189445,3109,15.62,1000000 27007,180288,2817 495,37526,614
1071 lime_dye 837,115827,1837,156,15625 52847,111616,1744 836,23758,377
1072 pink_dye 267,162208,2624,15.62,300000 16011,154240,2410 314,29299,484
1073 gray_dye 3540,65983,1071,469,200000 226414,62912,983 2700,12475,283
1074 light_gray_dye 2644,41765,811,81.63,150000 166381,37504,586 1629,12206,222
1075 cyan_dye 2689,68518,1278,120,100000 164275,55168,862 2235,17194,302
1076 purple_dye 1998,102779,1699,62.5,89000 125652,98240,1535 1786,23095,386
1077 blue_dye 1202,161011,2833,46.87,70000 71009,154176,2409 1094,36782,697
1078 brown_dye 1456,59100,1023,80.64,200000 93815,52736,824 1644,12293,225
1079 green_dye 152457,165745,2676,45.45,392562483 10157096,159168,2487 428,35756,572
1080 red_dye 188,330375,5429,15.62,50000 11386,312192,4878 205,83742,1392
1081 black_dye 2242,129661,3101,91.01,100000 116178,121216,1894 1875,35667,733
1082 bone_meal 34100,1443928,23437,62.5,23000000758 13830,1419136,22174 242,452916,7329
1083 bone 81434,286684,4790,154,23100000829 39475,275584,4306 545,93184,1519
1084 sugar 711,27172,537,78.12,125000 31071,23104,361 812,4452,98
1085 cake 108604,1808,1808,4000,1000000 108604,1808,1808 166141,293,293
1086 white_bed 25808,11825,11825,2000,200000 25808,11825,11825 29708,3979,3979
1087 orange_bed 183651,238,238,20000,2500000 183651,238,238 212160,48,48
1088 magenta_bed 63630,646,646,10000,1000000 63630,646,646 42764,323,323
1089 light_blue_bed 123451,330,330,20000,5000000 123451,330,330 187228,51,51
1090 yellow_bed 164523,515,515,2000,20000000 164523,515,515 1127062,97,97
1091 lime_bed 96739,467,467,10000,1000000 96739,467,467 84859,79,79
1092 pink_bed 121547,696,696,9000,10000000 121547,696,696 56379,224,224
1093 gray_bed 66569,516,516,9000,999000 66569,516,516 71631,150,150
1094 light_gray_bed 170993,141,141,4000,10000000 170993,141,141 343515,39,39
1095 cyan_bed 230628,229,229,14900,15000000 230628,229,229 106096,51,51
1096 purple_bed 265310,320,320,5000,1500000 265310,320,320 133186,95,95
1097 blue_bed 101740,807,807,12000,1000000 101740,807,807 556292,205,205
1098 brown_bed 1216972,188,188,10000,200000000 1216972,188,188 139260,63,63
1099 green_bed 106824,374,374,9500,1000000 106824,374,374 142116,85,85
1100 red_bed 73226,2104,2104,9000,2500000 73226,2104,2104 54650,584,584
1101 black_bed 104790,1962,1962,8999,88999997 104790,1962,1962 56884,708,708
1102 cookie 2248,72952,1195,83.33,781250 138278,69184,1081 908,17320,298
1103 crafter 5901,234042,8329,3125,166667 332221,188928,2952 5926,59950,2159
1104 filled_map 223755,293982,237966,833,23000000758 958348,27776,434 179586,73146,63330
1105 shears 110416,7534,7534,2000,100000000 110416,7534,7534 70784,2291,2291
1106 melon_slice 371,83226,1525,28.57,30000 21215,76608,1197 564,16971,352
1107 dried_kelp 215,154520,2506,82.81,20000 13351,148608,2322 227,44717,728
1108 pumpkin_seeds 673,49780,932,25,70000 41137,44416,694 520,12553,221
1109 melon_seeds 2643,8985,290,30.27,100000 135462,7744,121 1928,2628,69
1110 beef 1856,68059,1174,313,10000000 106533,65728,1027 1463,13638,244
1111 cooked_beef 63906,795032,21660,328,400161294 51635,630528,9852 1466,254689,7154
1112 chicken 2240,11641,385,67,200000 127273,9216,144 2059,3390,94
1113 cooked_chicken 1398,105849,1942,141,690000 84277,101056,1579 1532,24770,459
1114 rotten_flesh 644,168642,2956,46,100000 38350,160512,2508 980,104662,1723
1115 ender_pearl 102894,494027,35849,31.06,8573333886 8111,458000,28625 773,153240,10842
1116 blaze_rod 672,479819,8004,230,100000 40425,467520,7305 497,164300,2675
1117 ghast_tear 28775,18820,634,5833,1900000 1757515,15872,248 19348,4539,175
1118 gold_nugget 959,53189,1040,238,67000 60504,47040,735 1425,8935,217
1119 nether_wart 1166,221178,3899,118,89000 71856,206720,3230 1414,69835,1189
1120 glass_bottle 790,220067,3619,250,120000 49262,216064,3376 1022,63463,1053
1121 potion 510659,39566,39566,20,999999980 510659,39566,39566 468381,9963,9963
1122 spider_eye 3932,101201,1935,23.01,3125000 251753,97216,1519 1475,27819,550
1123 fermented_spider_eye 5121,86755,1752,513,70000 310079,77952,1218 4088,22820,417
1124 blaze_powder 697,111079,1883,93.73,40000 42290,103744,1621 732,27274,452
1125 magma_cream 3108,38984,711,278,75555 191141,36352,568 3744,10900,210
1126 brewing_stand 2691,93261,5488,156,1000000 119606,83008,1297 4397,26715,1795
1127 cauldron 8480,34990,1896,1111,300000 397015,28864,451 8036,6042,408
1128 ender_eye 1867,94772,2025,200,2000000 96012,86208,1347 1851,25261,579
1129 glistering_melon_slice 5551,9897,282,429,100000 351938,8064,126 4720,2048,62
1217 experience_bottle 6783,1030863,37910,4747,400000 383007,682240,10660 6410,287545,10647
1218 fire_charge 5100,19186,761,500,149999 266521,15296,239 4411,6280,224
1219 wind_charge 7266,366527,9159,3600,2000000 414055,308672,4823 7156,76390,2021
1220 writable_book 88598,6389,6389,4000,50000000 88598,6389,6389 64024,1742,1742
1221 written_book 4567678,6814,4606,2000,8999999242 490217,2208,138 2616546,1388,952
1222 breeze_rod 23255,48775,2099,15000,555556 1409842,37824,591 25241,12635,524
1223 mace 4827996,11164,11164,3000000,499999990 4827996,11164,11164 4709144,2563,2563
1224 item_frame 3834,331371,15166,800,2500000 182498,251840,3935 3971,87603,4393
1225 glow_item_frame 33260,40823,2177,1000,55555554 456969,35840,560 10172,8934,396
1226 flower_pot 10907,26983,2348,1563,1000000 348342,16192,253 10128,9040,626
1227 carrot 713,475252,7649,156,88000 45073,465600,7275 1129,106157,1788
1228 potato 1168,115246,1917,141,1000000 56875,109952,1718 1197,31159,512
1229 baked_potato 1185,51905,955,156,46875 76463,47936,749 967,13999,259
1230 poisonous_potato 16588,1137,185,82.29,4950000 167250,256,4 3107,336,46
1231 map 33769,785373,37807,3500,51562501 2425929,633216,9894 7196,223817,11202
1232 golden_carrot 217710,211048,5325,1875,22600000471 202509,170432,2663 3274,64301,1403
1233 skeleton_skull 267242,6719,1411,156333,1000000 15960326,4800,75 266474,2931,310
1235 player_head 0,0,0,0,0 0,0,0 0,0,0
1236 zombie_head 325170,8211,1407,195652,5000000 20259294,6272,98 323719,1877,331
1237 creeper_head 300500,10836,1606,205000,1000000 18906403,8576,134 286151,2939,533
1238 dragon_head 53732653,1440,1400,47500001,99000003 0,0,0 51604297,333,331
1239 piglin_head 463631,23798,2882,373000,2000000 28521592,17984,281 463631,7980,876
1240 nether_star 186171,4745,1199,90000,650000 12247667,3392,53 188751,1013,306
1241 pumpkin_pie 1748,10185,216,141,33333 101446,7616,119 3683,2518,44
1242 firework_rocket 2625,532862,9410,133,22000000 121973,500800,7825 1494,160024,3115
1243 firework_star 5675,34775,551,1563,1000000 360752,34624,541 11221,4864,79
1245 nether_brick 2248,14124,292,92.59,2000000 110091,12288,192 719,5016,96
1246 resin_brick 4123,49461,1325,351,6000000 158966,45056,704 2705,13249,298
1247 prismarine_shard 1559,13677,241,250,30000 98431,12992,203 2485,1496,29
1248 prismarine_crystals 1861,11085,277,127,69091 105715,9216,144 2334,1754,70
1249 rabbit 4219,1140,151,938,100000 165833,768,12 6287,54,24
1250 cooked_rabbit 56094,868,43,469,3900000 760000,448,7 12438,16,4
1251 rabbit_stew 35625,72,72,3000,150000 35625,72,72 124706,17,17
1252 rabbit_foot 29831,2050,286,2500,500000 1185600,1280,20 22866,488,83
1253 rabbit_hide 7769,865,167,200,1000000 86000,256,4 2478,141,24
1254 armor_stand 1507,195139,12908,133,100000 23404,190000,11875 1325,36300,2637
1255 copper_horse_armor 75049,680,680,500,999000 75049,680,680 40896,137,137
1256 iron_horse_armor 163760,858,858,1000,50000000 163760,858,858 62936,208,208
1257 golden_horse_armor 121416,1022,1022,1600,1000000 121416,1022,1022 91930,269,269
1258 diamond_horse_armor 158428,1772,1772,2000,11000000 158428,1772,1772 48128,282,282
1259 netherite_horse_armor 9236789,19,19,5000000,14000000 9236789,19,19 9500000,2,2
1260 leather_horse_armor 430131,114,114,25000,10000000 430131,114,114 779273,11,11
1261 lead 6296,48402,4075,402,15800000 219093,38656,604 5033,12568,1205
1262 name_tag 31300,14536,4565,10556,23299999 1627448,8256,129 35293,3657,1273
1264 mutton 3447,3206,215,800,100000 204309,2368,37 4562,427,55
1265 cooked_mutton 16845,7643,168,90.9,1562500 1169286,6720,105 3186,1242,39
1266 white_banner 40309,38704,7234,156,100000000 189247,30560,1910 36848,7265,1622
1267 orange_banner 98802,410,66,3333,5000000 849363,304,19 128824,85,25
1268 magenta_banner 162726,308,218,1000,2000000 500000,16,1 188500,50,45
1269 light_blue_banner 152840,723,279,10000,1000000 1501852,432,27 117267,172,60
1270 yellow_banner 661715,198,137,5833,100000000 4000000,16,1 263080,25,25
1271 lime_banner 391831,362,232,6000,10000000 712500,64,4 341274,62,58
1272 pink_banner 246705,478,385,6250,2500000 1866667,48,3 390217,46,46
1273 gray_banner 235433,60,27,9375,2000000 224495,32,2 385750,4,4
1274 light_gray_banner 219537,149,149,40000,1000000 0,0,0 1335444,9,9
1275 cyan_banner 176455,358,227,5000,1000000 1762500,64,4 146494,89,29
1276 purple_banner 214274,508,368,3750,3000000 880000,112,7 177696,135,34
1277 blue_banner 212978,863,496,5000,10000000 2723684,304,19 158391,179,175
1278 brown_banner 113340,626,447,1000,5000000 4350000,32,2 556214,242,141
1279 green_banner 407244,130,110,5833,3000000 0,0,0 263714,7,7
1280 red_banner 135311,3540,1198,8333,7000000 1390127,2272,142 151176,571,252
1281 black_banner 103627,9145,2501,1000,38000000 551620,6528,408 172681,1004,464
1282 end_crystal 21041,423402,18141,5555,1000000 1220721,287424,4491 20165,100591,5098
1283 chorus_fruit 948,145890,2577,46.87,300000 58282,132416,2069 1491,31032,554
1284 popped_chorus_fruit 8545,4401,102,172,1000000 288933,3840,60 13115,1210,23
1285 torchflower_seeds 6959,14145,358,938,220000 405445,13120,205 4612,3268,61
1286 pitcher_pod 1214,6160,169,78.12,100000 40618,5696,89 2472,857,28
1287 beetroot 1916,9728,178,46.87,50000 120211,8576,134 2403,2692,46
1288 beetroot_seeds 1030,11731,255,28.22,51000 60581,10176,159 878,2261,44
1289 beetroot_soup 152096,41,41,8000,1000000 152096,41,41 38533,15,15
1290 dragon_breath 13339,35356,917,4636,1000000 805817,33536,524 12613,3496,140
1291 splash_potion 94760,94383,94383,1000,1999999959 94760,94383,94383 49069,29026,29026
1292 spectral_arrow 2781,54827,931,133,105263 171201,50880,795 2600,15707,258
1293 tipped_arrow 6040,414925,7859,38.46,50000000 370884,358144,5596 5244,95911,1744
1294 lingering_potion 151323,1698,1698,1000,44999997 151323,1698,1698 127387,426,426
1295 shield 117094,14720,14720,2000,50000000 117094,14720,14720 100255,4214,4214
1296 wooden_spear 136168,197,197,1000,4999999 136168,197,197 185321,28,28
1297 stone_spear 15166,317,317,25,200000 15166,317,317 23951,83,83
1298 copper_spear 74286,145,145,2500,2000000 74286,145,145 31667,18,18
1299 iron_spear 40069,300,300,1000,3000000 40069,300,300 25845,121,121
1300 golden_spear 202650,76,76,4000,5000000 202650,76,76 380844,32,32
1301 diamond_spear 349432,6514,6514,5000,8000000 349432,6514,6514 311877,1499,1499
1302 netherite_spear 6110098,903,903,4900000,75000003 6110098,903,903 5629942,207,207
1303 totem_of_undying 239398,24083,24083,104990,999999980 239398,24083,24083 297041,8351,8351
1304 shulker_shell 5707,126728,2180,2800,375000 360343,122496,1914 5402,38003,651
1305 iron_nugget 1149,8570,240,36.84,50000 59508,5696,89 438,5880,117
1306 copper_nugget 4735,1414,42,52.63,1000000 19375,1024,16 1725,536,12
1307 knowledge_book 0,0,0,0,0 0,0,0 0,0,0
1309 music_disc_13 26507,1079,1079,1000,500000 26507,1079,1079 66937,243,243
1310 music_disc_cat 30091,1124,1124,1000,1000000 30091,1124,1124 30770,265,265
1311 music_disc_blocks 354970,155,155,4200,1000000 354970,155,155 507180,27,27
1312 music_disc_chirp 332478,211,211,25000,4000000 332478,211,211 340885,52,52
1313 music_disc_creator 119279,521,521,4000,1000000 119279,521,521 115408,142,142
1314 music_disc_creator_music_box 236135,290,290,5000,4900000 236135,290,290 242434,76,76
1315 music_disc_far 285694,95,95,4000,1000000 285694,95,95 338520,25,25
1316 music_disc_lava_chicken 421899,1005,1005,50000,3000000 421899,1005,1005 427824,252,252
1317 music_disc_mall 282908,301,301,5166,15000000 282908,301,301 240835,68,68
1318 music_disc_mellohi 368478,237,237,4500,999000 368478,237,237 464974,39,39
1319 music_disc_stal 333334,182,182,6000,3000000 333334,182,182 783098,41,41
1320 music_disc_strad 248917,255,255,6000,3000000 248917,255,255 210823,56,56
1321 music_disc_ward 183875,125,125,3000,1000000 183875,125,125 466833,24,24
1322 music_disc_11 305400,220,220,10000,4400000 305400,220,220 286271,48,48
1323 music_disc_wait 283723,191,191,5500,2000000 283723,191,191 248578,38,38
1324 music_disc_otherside 161909,439,439,4900,5000000 161909,439,439 219093,73,73
1325 music_disc_relic 2994854,74,74,1000000,10000000 2994854,74,74 3558823,17,17
1326 music_disc_5 319475,200,200,20000,900000 319475,200,200 178400,85,85
1327 music_disc_pigstep 628428,563,563,151000,10000000 628428,563,563 436160,109,109
1328 music_disc_precipice 162293,321,321,3000,1000000 162293,321,321 220929,84,84
1329 music_disc_tears 390728,330,330,50000,1000000 390728,330,330 501265,82,82
1330 disc_fragment_5 14130,1882,217,1000,100000 767684,1216,19 10073,426,43
1331 trident 1191520,14697,14697,300000,34499999 1191520,14697,14697 1277249,3809,3809
1332 nautilus_shell 3938,3349,338,290,2000000 198216,1600,25 6732,755,74
1333 iron_nautilus_armor 21585,124,124,2000,200000 21585,124,124 20330,40,40
1334 golden_nautilus_armor 47020,142,142,2000,1000000 47020,142,142 54288,34,34
1335 diamond_nautilus_armor 180339,137,137,5000,3000000 180339,137,137 66000,23,23
1336 netherite_nautilus_armor 5238500,20,20,3000000,14000000 5238500,20,20 6833300,3,3
1337 copper_nautilus_armor 356075,254,254,1000,80000000 356075,254,254 15222,45,45
1338 heart_of_the_sea 47651,1239,454,24000,200000 2638236,704,11 68592,234,141
1339 crossbow 209170,3070,3070,1000,10000000 209170,3070,3070 285570,585,585
1340 suspicious_stew 29112,685,685,1000,2000000 29112,685,685 19799,105,105
1341 loom 12163,11117,900,1250,800000 509152,9536,149 20970,2394,254
1342 flower_banner_pattern 343894,180,180,3000,2000000 343894,180,180 222936,47,47
1343 creeper_banner_pattern 912884,91,91,100000,4000000 912884,91,91 397354,28,28
1344 skull_banner_pattern 306896,135,135,10000,800000 306896,135,135 1032848,17,17
1345 mojang_banner_pattern 2291000,37,37,500000,3790000 2291000,37,37 1557143,14,14
1346 globe_banner_pattern 95170,106,106,5000,298000 95170,106,106 83542,33,33
1347 piglin_banner_pattern 1018373,182,182,58297,2600000 1018373,182,182 832998,25,25
1348 flow_banner_pattern 14659,403,403,1000,100000 14659,403,403 15846,87,87
1349 guster_banner_pattern 45820,215,215,1000,999000 45820,215,215 28295,52,52
1350 field_masoned_banner_pattern 509880,50,50,75000,5000000 509880,50,50 325000,10,10
1351 bordure_indented_banner_pattern 198329,218,218,30000,2000000 198329,218,218 173556,45,45
1352 goat_horn 392407,897,897,3000,5000000 392407,897,897 348817,232,232
1353 composter 1984,97830,4192,159,2000000 76413,84096,1314 1343,25522,1238
1354 barrel 7182,170346,6782,61.01,3906250 481672,143424,2241 12469,46765,1798
1355 smoker 1534,186957,3841,89.01,300000 88375,170176,2659 1536,42989,1021
1356 blast_furnace 8799,41752,3495,1400,350000 341646,32960,515 7226,9657,707
1357 cartography_table 22834,4830,1274,1000,5000000 510057,2240,35 33183,626,277
1358 fletching_table 8175,26306,1534,1563,3700000 337404,23232,363 33917,4152,333
1359 grindstone 13974,12618,2127,345,440000 495859,9536,149 8048,4525,545
1360 smithing_table 15834,18122,3460,1563,1000000 463297,12928,202 41698,3930,998
1361 stonecutter 10705,12955,2217,625,1000000 187355,9728,152 6390,4817,658
1362 bell 57742,3839,642,2273,1000000 2404633,2560,40 40598,689,115
1363 lantern 5232,87367,4204,703,300000 250479,71424,1116 4402,19374,1011
1364 soul_lantern 8210,43698,2362,317,1000000 364453,34176,534 9961,7870,439
1365 copper_lantern 8160,7135,194,1538,1000000 376879,3328,52 8221,1768,44
1366 exposed_copper_lantern 14286,35,3,9375,100000 0,0,0 283333,3,3
1367 weathered_copper_lantern 189111,63,8,25000,499000 0,0,0 106250,32,1
1368 oxidized_copper_lantern 48153,1246,126,16949,699000 1994682,960,15 70705,167,18
1369 waxed_copper_lantern 67352,1167,84,1246,899999 4789979,768,12 23121,128,2
1370 waxed_exposed_copper_lantern 278125,64,11,75000,1600000 0,0,0 463750,8,7
1371 waxed_weathered_copper_lantern 1593869,84,30,312500,12857142 0,0,0 321307,21,16
1372 waxed_oxidized_copper_lantern 96748,416,52,6667,999999 4600000,128,2 64182,234,15
1373 sweet_berries 189,381030,6378,25,50000 11329,364352,5693 165,131931,2178
1374 glow_berries 1544,52500,971,45.45,1000000 81281,49792,778 3619,8452,169
1375 campfire 8256,29423,2082,862,190000 326263,25088,392 17770,3791,567
1376 soul_campfire 14385,15040,1626,1094,400000 508992,11904,186 12583,3370,309
1377 shroomlight 1642,93015,1958,13.01,99000 92203,88256,1379 1603,17685,347
1378 honeycomb 1606,104145,1877,164,66667 96842,97536,1524 1410,25459,466
1379 bee_nest 244123,1571,1341,2500,1000000 49499999,128,2 159743,308,303
1380 beehive 11533,42077,1647,1102,1000000 401405,39360,615 14737,8783,406
1381 honey_bottle 10653,2125,364,1000,900000 110023,1392,87 10202,531,116
1382 honeycomb_block 5251,8114,302,391,200000 261293,6912,108 2651,1617,35
1383 lodestone 9156,39160,1510,1563,500000 518048,36160,565 13335,10372,401
1384 crying_obsidian 8569,85871,2526,2100,781250 527862,70080,1095 4821,23595,691
1385 blackstone 1463,351546,5850,688,68900 91081,337792,5278 1530,91707,1580
1386 blackstone_slab 4449,41663,666,700,62500 286076,39936,624 3826,9262,157
1387 blackstone_stairs 5309,46158,847,781,18438 331520,40960,640 4700,11425,225
1388 gilded_blackstone 981463,41679,3188,850000,15000000 62138139,33408,522 1034250,13102,1288
1389 polished_blackstone 12133,241585,3942,625,35937500 795769,233536,3649 2175,48363,782
1390 polished_blackstone_slab 5549,32364,536,714,400000 355345,30336,474 4819,5821,109
1391 polished_blackstone_stairs 4244,56698,1000,1786,200000 254767,53632,838 4259,12704,209
1392 chiseled_polished_blackstone 3924,79272,1550,437,156250 235253,74624,1166 3858,17861,361
1393 polished_blackstone_bricks 2247,286112,4832,667,192308 138918,269952,4218 1992,80523,1357
1394 polished_blackstone_brick_slab 5141,26892,436,1000,78125 328641,25408,397 8306,5532,89
1395 polished_blackstone_brick_stairs 6203,48493,876,600,200000 375144,45120,705 8764,9968,199
1396 cracked_polished_blackstone_bricks 4057,122427,1991,1000,16666667 230233,118336,1849 3035,32679,526
1397 respawn_anchor 30464,164388,5522,8400,250000 1841895,132416,2069 23330,92640,2299
1398 candle 4934,29622,836,357,100000 265650,24832,388 4920,9261,286
1399 white_candle 7579,28616,777,333,160000 415470,25984,406 6765,6923,141
1400 orange_candle 28116,2008,66,3571,1000000 1830090,1664,26 15185,567,9
1401 magenta_candle 22217,1277,53,4688,250000 1341000,1088,17 10401,533,14
1402 light_blue_candle 20807,1858,83,1639,400000 1122973,1408,22 16397,453,9
1403 yellow_candle 14325,3281,101,781,450000 653365,2880,45 11239,476,19
1404 lime_candle 14488,4855,119,1563,100000 890949,4544,71 15189,652,17
1405 pink_candle 6429,7187,133,1563,80000 412709,6592,103 23112,876,15
1406 gray_candle 21157,1470,40,4688,350000 1089474,1216,19 12478,389,8
1407 light_gray_candle 105011,1305,43,6140,11000001 1111389,1152,18 16494,406,8
1408 cyan_candle 12646,7580,160,1429,590000 659404,6592,103 35397,520,20
1409 purple_candle 9974,6559,203,263,1000000 560699,5632,88 32976,944,30
1410 blue_candle 10117,4932,121,516,380000 605998,4160,65 14674,794,26
1411 brown_candle 19917,2957,71,1750,450000 1208108,2560,40 17846,610,17
1412 green_candle 14275,5465,135,4918,1000000 799301,4992,78 6835,2006,38
1413 red_candle 4603,26247,705,500,1000000 220122,24320,380 3640,4913,152
1414 black_candle 11348,15978,406,1563,420000 653096,14336,224 15641,1774,49
1415 small_amethyst_bud 24461,1629,398,645,200000 1214143,448,7 25384,574,109
1416 medium_amethyst_bud 40470,2962,649,2000,699000 1396724,1856,29 114858,310,205
1417 large_amethyst_bud 31179,2977,294,1250,599000 1394429,2112,33 38581,462,74
1418 amethyst_cluster 7949,35875,2287,318,130000 375981,26112,408 8379,6632,445
1419 pointed_dripstone 2335,137534,4222,54.68,500000 118051,116352,1818 2313,33259,887
1420 ochre_froglight 3462,97728,2004,72.01,1000000 190223,91328,1427 3970,22584,468
1421 verdant_froglight 5872,64505,1627,253,281250 340977,60096,939 3384,16358,367
1422 pearlescent_froglight 2370,106502,2502,201,120000 135574,95040,1485 1339,28783,838
1423 frogspawn 0,0,0,0,0 0,0,0 0,0,0
1424 echo_shard 11188,7175,351,1457,300000 509381,5632,88 34041,497,73
1425 brush 712033,1690,1690,5000,320000000 712033,1690,1690 124494,422,422
1426 netherite_upgrade_smithing_template 47221,15842,4147,16667,1400000 2450231,8320,130 58816,4020,1155
1427 sentry_armor_trim_smithing_template 90648,795,291,10000,2000000 3633333,384,6 104258,197,146
1428 dune_armor_trim_smithing_template 157634,1456,1077,50000,960000 7400000,128,2 169099,223,220
1429 coast_armor_trim_smithing_template 45452,5100,1144,3000,500000 2250000,3456,54 53839,497,155
1430 wild_armor_trim_smithing_template 123495,901,610,15000,500000 4333333,192,3 116940,189,110
1431 ward_armor_trim_smithing_template 71370,1323,456,3900,2000000 2766667,576,9 75578,184,98
1432 eye_armor_trim_smithing_template 95908,3673,1478,21001,800000 3917857,1792,28 72463,1401,354
1433 vex_armor_trim_smithing_template 195740,762,656,30000,30000000 5800000,64,1 100914,293,102
1434 tide_armor_trim_smithing_template 140909,1011,518,25000,699000 5000000,128,2 115212,316,157
1435 snout_armor_trim_smithing_template 146299,606,412,30000,500000 5800000,64,1 139399,150,112
1436 rib_armor_trim_smithing_template 117327,2364,1412,30000,500000 4771429,448,7 103134,1175,452
1437 spire_armor_trim_smithing_template 127417,621,397,10000,499000 3833333,192,3 150694,192,190
