item,price,price_src,ah_value,units_per_day,trades_per_day,pull,capture,thinness,corner_cost,bid_change_pct,bid_now,top_outputs
gold_nugget,33.0,orders,1563.0,53189,1040,147166780,4459599.4,2767,1755237,,,"golden_carrot(77,903,093); gold_ingot(61,570,006); glistering_melon_slice(7,693,680)"
chiseled_stone_bricks,16.0,orders,766.0,60212,961,68838385,4302399.1,1143,963392,,,"lodestone(68,838,385)"
copper_ingot,63.0,orders,625.0,144234,2552,261552013,4151619.3,1813,9086742,,,"copper_chest(138,834,000); copper_chain(28,815,000); copper_block(24,734,409)"
magma_cream,37.0,orders,3438.0,38984,711,152541722,4122749.2,3913,1442408,,,"fire resistance brewing(134,026,992); magma_block(18,514,730)"
blaze_rod,400.0,orders,773.0,479819,8004,1640063451,4100158.6,3418,191927600,,,"oxidized_copper_bulb(554,960,000); waxed_oxidized_copper_bulb(234,650,000); brewing_stand(145,766,943)"
acacia_log,142.5,orders,998.0,33522,609,576716808,4047135.5,17204,4776885,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
piston,853.0,orders,3438.0,413236,15960,3430217598,4021357.1,8301,352490308,-57.4,853,"sticky_piston(3,430,217,598)"
wheat,225.0,orders,1859.0,228627,3800,875680136,3891911.7,3830,51441075,,,"bread(272,281,092); packed_mud(209,880,256); hay_block(97,004,444)"
sand,312.5,ah,313.0,577405,9601,1205348330,3857114.7,2088,180439062,,,"tnt(851,349,807); purple_concrete_powder(72,477,652); red_concrete_powder(45,064,572)"
birch_log,160.0,orders,859.0,73998,1399,607642812,3797767.6,8212,11839680,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
spruce_wood,150.0,orders,1563.0,32882,527,566198228,3774654.9,17219,4932300,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
warped_stem,201.0,orders,2188.0,145634,2384,748454465,3723654.1,5139,29272434,,,"soul_campfire(376,000,000); warped_planks(149,401,912); smoker(105,911,140)"
cherry_planks,781.2,ah,859.0,79676,1292,2876908533,3682442.9,36108,62246875,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
sugar,344.0,ah,344.0,27172,537,1233235090,3584985.7,45386,9347168,,,"fermented_spider_eye(807,949,315); cake(135,600,000); cake(135,600,000)"
stone_slab,1962.0,ah,3125.0,112900,1791,6813720000,3472790.9,60352,221513187,,,"grindstone(567,810,000); grindstone(567,810,000); grindstone(567,810,000)"
red_sand,253.0,orders,469.0,54237,908,865174330,3419526.2,15952,13722503,,,"tnt(851,349,807); red_sandstone(13,824,523)"
stripped_oak_wood,167.0,orders,8984.0,10666,173,566198228,3390408.5,53084,1781222,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
birch_slab,312.5,ah,313.0,20633,343,1028400452,3290881.4,49843,6447812,,,"lectern(490,087,500); barrel(332,685,738); composter(87,348,214)"
blue_carpet,50.0,orders,4966.0,47303,767,161378399,3227568.0,3412,2365150,,,"black_carpet(161,378,399)"
stripped_dark_oak_wood,191.0,orders,14844.0,3976,66,566198228,2964388.6,142404,759416,,,"soul_campfire(376,000,000); smoker(105,911,140); campfire(84,287,087)"
dark_oak_planks,1040.9,ah,1563.0,72454,1167,2991702148,2874177.0,41291,75416644,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
crimson_planks,1094.0,ah,1094.0,29768,501,3109230488,2842075.4,104449,32566192,,,"piston(473,568,456); bookshelf(392,826,417); loom(305,717,500)"
minecart,460.0,orders,12000.0,7727,7727,1192820000,2593087.0,154370,3554420,,,"hopper_minecart(462,400,000); chest_minecart(409,600,000); tnt_minecart(318,150,000)"
feather,234.0,ah,234.0,45634,1018,596560750,2549404.9,13073,10678356,,,"writable_book(428,063,000); arrow(168,497,750)"
terracotta,250.0,ah,703.0,63301,1082,636815970,2547263.9,10060,15825250,,,"raiser_armor_trim_smithing_template(84,400,000); wayfinder_armor_trim_smithing_template(69,451,000); red_terracotta(57,714,081)"
magenta_dye,155.0,ah,155.0,100429,1684,382999035,2470961.5,3814,15566495,,,"magenta_stained_glass(121,132,500); magenta_wool(92,382,218); magenta_terracotta(77,694,224)"
purple_dye,781.0,ah,781.0,102779,1699,1830134988,2343322.6,17807,80270399,,,"purple_candle(550,956,000); purple_stained_glass(340,388,761); purple_concrete_powder(289,910,608)"
red_nether_bricks,30.0,orders,7109.0,59457,941,68606232,2286874.4,1154,1783710,,,"red_nether_brick_slab(39,703,972); red_nether_brick_stairs(21,384,375); red_nether_brick_wall(7,517,884)"
sugar_cane,51.0,orders,1250.0,467440,8684,112330501,2202558.8,240,23839440,,,"paper(102,983,333); sugar(9,347,168)"
blue_dye,765.6,ah,766.0,161011,2833,1650419075,2155663.5,10250,123273242,,,"blue_stained_glass(340,385,699); blue_wool(311,831,696); blue_carpet(234,906,698)"
beetroot,25.0,orders,1563.0,9728,178,51825500,2073020.0,5327,243200,,,"red_dye(51,538,500); beetroot_soup(287,000)"
green_wool,501.1,orders,1563.0,67024,1118,1037397729,2070240.9,15478,33585726,,,"painting(716,800,000); green_carpet(165,539,062); green_bed(12,466,667)"
green_dye,781.0,ah,781.0,165745,2676,1470071519,1882293.9,8869,129446845,,,"green_carpet(331,078,125); lime_dye(217,175,625); green_terracotta(206,921,875)"
black_carpet,1546.9,ah,1547.0,104317,1710,2875081047,1858632.2,27561,161365881,,,"white_carpet(577,776,849); red_carpet(476,285,535); green_carpet(331,078,125)"
gray_wool,501.1,orders,3109.0,97253,1632,916891870,1829758.3,9428,48733478,,,"painting(716,800,000); gray_carpet(156,981,880); gray_bed(3,440,000)"
polished_blackstone,312.0,orders,3125.0,241585,3942,565103376,1811228.8,2339,75374520,,,"polished_blackstone_button(246,285,000); polished_blackstone_bricks(220,163,184); polished_blackstone_pressure_plate(33,900,850)"
cherry_slab,609.0,ah,609.0,19143,316,1028400452,1688670.7,53722,11658087,,,"lectern(490,087,500); barrel(332,685,738); composter(87,348,214)"
