raw,buy,buy_src,chain,out,units_per_raw,other_cost_per_raw,value_med_per_raw,value_con_per_raw,profit_med_per_raw,profit_con_per_raw,out_vol_day,out_trades_day,out_med,out_con
crying_obsidian,201.0,orders,crying_obsidian x6 -> respawn_anchor x1,respawn_anchor,0.167,215.0,3645.5,3645.5,3229.5,3229.5,164388,5522,21873.0,21873.0
glowstone_dust,10.0,orders,(sell raw as-is on AH),glowstone_dust,1,0,781.0,781.0,771.0,771.0,95056,2295,781.0,781.0
glowstone_dust,10.0,orders,glowstone_dust x4 -> glowstone x1,glowstone,0.25,0.0,2083.2,1953.2,2073.2,1943.2,288488,10157,8333.0,7813.0
glowstone_dust,10.0,orders,glowstone_dust x4 -> glowstone x1 -> respawn_anchor x1,respawn_anchor,0.083,100.5,1822.8,1822.8,1712.2,1712.2,164388,5522,21873.0,21873.0
glowstone_dust,10.0,orders,glowstone_dust x4 -> glowstone x1 -> redstone_lamp x1,redstone_lamp,0.25,360.9,1172.0,1172.0,801.1,801.1,44953,2814,4688.0,4688.0
glowstone_dust,10.0,orders,glowstone_dust x4 -> spectral_arrow x2,spectral_arrow,0.5,62.5,586.0,547.0,513.5,474.5,54827,931,1172.0,1094.0
glowstone,430.0,orders,(sell raw as-is on AH),glowstone,1,0,8333.0,7813.0,7903.0,7383.0,288488,10157,8333.0,7813.0
glowstone,430.0,orders,glowstone x3 -> respawn_anchor x1,respawn_anchor,0.333,402.0,7291.0,7291.0,6459.0,6459.0,164388,5522,21873.0,21873.0
glowstone,430.0,orders,glowstone x1 -> redstone_lamp x1,redstone_lamp,1.0,1443.5,4688.0,4688.0,2814.5,2814.5,44953,2814,4688.0,4688.0
blaze_rod,400.0,orders,(sell raw as-is on AH),blaze_rod,1,0,773.0,773.0,373.0,373.0,479819,8004,773.0,773.0
blaze_rod,400.0,orders,blaze_rod x1 -> oxidized_copper_bulb x4,oxidized_copper_bulb,4.0,3360.9,320000.0,280000.0,316239.1,276239.1,6937,802,80000.0,70000.0
blaze_rod,400.0,orders,blaze_rod x1 -> exposed_copper_bulb x4,exposed_copper_bulb,4.0,15360.9,266460.0,200000.0,250699.1,184239.1,174,21,66615.0,50000.0
blaze_rod,400.0,orders,blaze_rod x1 -> weathered_copper_bulb x4,weathered_copper_bulb,4.0,131610.9,400000.0,180000.0,267989.1,47989.1,157,91,100000.0,45000.0
blaze_rod,400.0,orders,blaze_rod x1 -> oxidized_copper_bulb x4 -> waxed_oxidized_copper_bulb x1,waxed_oxidized_copper_bulb,4.0,3760.9,50000.0,50000.0,45839.1,45839.1,18772,1008,12500.0,12500.0
blaze_rod,400.0,orders,blaze_rod x1 -> waxed_oxidized_copper_bulb x4,waxed_oxidized_copper_bulb,4.0,14415.3,50000.0,50000.0,35184.7,35184.7,18772,1008,12500.0,12500.0
blaze_rod,400.0,orders,blaze_rod x1 -> waxed_weathered_copper_bulb x4,waxed_weathered_copper_bulb,4.0,58053.2,140000.0,80000.0,81546.8,21546.8,909,143,35000.0,20000.0
