name,order_bid,note,seen
sand,240,"28.8k/100k delivered",2026-09-02
kelp,52.02,"3.8m/10m delivered - a 520M standing order",2026-09-02
dried_kelp_block,749.9,"164k/20M delivered - a 15 BILLION standing order, priced 0.1 under /worth 750",2026-09-02
ender_pearl,42.75,"1.1m/17m delivered - a 17 MILLION pearl order",2026-09-13
blaze_rod,229,"81k/100k delivered",2026-09-13
obsidian,300,"4.1k/200k delivered",2026-09-13
dispenser,2000,"delivered 1K at 2.0M and 320 at 656K (2,050); own buy order 50K placed at ~1,100",2026-09-13
