output,out_n,inputs,cost,sell_unit,sell_channel,revenue,profit_per_craft,margin_pct,profit_per_input_item,crafts_per_hr_per_line,profit_per_hr_per_line,out_daily_ah_units,out_daily_trades,max_profit_per_day_by_volume,ah_single_sell,sell_basis,out_n_tx,stale_order_input
brown_bed,1,brown_wool x3 @4586a + acacia_planks x3 @45o,13893.8,111430.0,ah,111430.0,97536.2,702.0,16256.04,1500,146304375,188,188,18336815,111430.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + oak_planks x3 @52o,13914.8,111430.0,ah,111430.0,97515.2,700.8,16252.54,1500,146272875,188,188,18332867,111430.0,tx_med,15,STALE-JUN25
cake,1,milk_bucket x3 @400o + sugar x2 @344a + brown_egg x1 @1250a + wheat x3 @225o,3813.0,150000.0,ah,150000.0,146187.0,3833.9,16243.0,1000,146187000,1808,1808,264306096,150000.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + birch_planks x3 @156a,14227.5,111430.0,ah,111430.0,97202.5,683.2,16200.42,1500,145803750,188,188,18274070,111430.0,tx_med,15,
green_harness,1,leather x3 @283o + glass x2 @280o + green_wool x1 @501o,1910.1,99000.0,ah,99000.0,97089.9,5083.0,16181.65,1500,145634850,28,28,2718517,99000.0,tx_med,15,STALE-JUN25
green_bed,1,green_wool x3 @501o + bamboo_planks x3 @469a,2910.3,100000.0,ah,100000.0,97089.7,3336.1,16181.62,1500,145634550,374,374,36311548,100000.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + jungle_planks x3 @250a,14508.8,111430.0,ah,111430.0,96921.2,668.0,16153.54,1500,145381875,188,188,18221195,111430.0,tx_med,15,
light_gray_harness,1,leather x3 @283o + glass x2 @280o + light_gray_wool x1 @1875a,3284.0,100000.0,ah,100000.0,96716.0,2945.1,16119.33,1500,145074000,38,38,3675208,100000.0,tx_med,15,STALE-JUN25
rib_armor_trim_smithing_template,2,diamond x7 @5713a + rib_armor_trim_smithing_template x1 @5000o + netherrack x1 @159a,45148.2,95000.0,ah,190000.0,144851.8,320.8,16094.64,1000,144851790,2364,1412,171214816,95000.0,tx_med,15,STALE-JUN25
green_bed,1,green_wool x3 @501o + pale_oak_planks x3 @655a,3468.1,100000.0,ah,100000.0,96531.9,2783.4,16088.65,1500,144797820,374,374,36102923,100000.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + bamboo_planks x3 @469a,15165.8,111430.0,ah,111430.0,96264.2,634.7,16044.04,1500,144396375,188,188,18097679,111430.0,tx_med,15,
green_bed,1,green_wool x3 @501o + cherry_planks x3 @781a,3847.1,100000.0,ah,100000.0,96152.9,2499.4,16025.49,1500,144229425,374,374,35961203,100000.0,tx_med,15,STALE-JUN25
brown_bed,1,brown_wool x3 @4586a + pale_oak_planks x3 @655a,15723.6,111430.0,ah,111430.0,95706.4,608.7,15951.07,1500,143559645,188,188,17992809,111430.0,tx_med,15,
red_harness,1,leather x3 @283o + glass x2 @280o + red_wool x1 @2943a,4352.5,100000.0,ah,100000.0,95647.5,2197.5,15941.25,1500,143471295,78,78,7460507,100000.0,tx_med,15,STALE-JUN25
