output,prof,em,rev_per_em,margin,uses,profit_day,trades,vol,route,crowd
brick,mason,1,27270,10.07,32,785984,484,27135,AH stack,
arrow,fletcher,1,4000,1.48,24,31008,10800,673991,AH stack,fletcher halls are in every villager video
experience_bottle,cleric,3,2500,0.92,24,-14976,37910,1030863,"order fill, no slot",XP farm content everywhere; still the deepest market on the server
glass,librarian,1,2752,1.02,24,1056,17610,806810,AH stack,
lantern,librarian,1,2344,0.87,24,-8736,4204,87367,AH stack,
golden_carrot,farmer,3,2953,1.09,24,17640,5325,211048,AH stack,
lapis_lazuli,cleric,1,1563,0.58,24,-27480,5179,290225,AH stack,
redstone,cleric,1,934,0.34,24,-42576,17641,727721,AH stack,
ender_pearl,cleric,5,11,0.0,24,-323640,35849,494027,"order fill, no slot",
